patent_number,title,assignee,filing_date,expiration_date,abstract,status
US10123456,Methods for treating Alzheimer's with aspirin,Pharma Inc,2015-03-15,2035-03-15,Novel methods for using low-dose aspirin in Alzheimer's disease treatment and prevention,Active
US10234567,Metformin compositions for cancer therapy,BioTech Corp,2018-07-20,2038-07-20,Pharmaceutical compositions comprising metformin for treating various cancer types,Active
US10345678,Statin formulations for neuroprotection,NeuroPharm Ltd,2017-11-10,2037-11-10,Extended-release statin formulations with neuroprotective properties,Active
US10456789,Hydroxychloroquine delivery systems,MedDevice Co,2019-02-28,2039-02-28,Novel drug delivery systems for hydroxychloroquine in autoimmune diseases,Active
US10567890,Dexamethasone treatment protocols,Global Pharma,2020-04-15,2040-04-15,Optimized dexamethasone dosing regimens for inflammatory conditions,Active
US10678901,Ibuprofen neuroprotective uses,Pain Solutions,2016-09-05,2036-09-05,Methods of using ibuprofen for neuroprotection in neurodegenerative diseases,Active
US10789012,Sildenafil cardiovascular applications,CardioMed Inc,2014-12-20,2034-12-20,Use of sildenafil in treating cardiovascular and pulmonary conditions,Expired
US10890123,Thalidomide combination therapies,OncoTherapeutics,2019-08-30,2039-08-30,Combination therapies involving thalidomide for hematological malignancies,Active
US10901234,Propranolol psychiatric applications,MindMed Corp,2020-01-12,2040-01-12,Methods for using propranolol in treating psychiatric and anxiety disorders,Active
US11012345,Lithium neuroprotective formulations,NeuroTech Solutions,2018-05-25,2038-05-25,Sustained-release lithium formulations for neurodegenerative diseases,Active
